delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,113,-0.5978,-1.6176,0.6686,-1.6909
pos,114,-0.5899,-1.6194,0.6659,-1.6909
pos,115,-0.5820,-1.6211,0.6631,-1.6909
pos,116,-0.5739,-1.6228,0.6602,-1.6909
pos,117,-0.5657,-1.6244,0.6574,-1.6909
pos,118,-0.5575,-1.6259,0.6545,-1.6909
pos,119,-0.5492,-1.6274,0.6515,-1.6908
pos,120,-0.5407,-1.6288,0.6486,-1.6908
pos,121,-0.5322,-1.6301,0.6456,-1.6908
pos,122,-0.5235,-1.6315,0.6425,-1.6907
pos,123,-0.5147,-1.6327,0.6395,-1.6907
pos,124,-0.5058,-1.6339,0.6364,-1.6906
pos,125,-0.4968,-1.6351,0.6332,-1.6906
pos,126,-0.4876,-1.6362,0.6301,-1.6906
pos,127,-0.4783,-1.6373,0.6269,-1.6905
pos,128,-0.4689,-1.6383,0.6237,-1.6904
pos,129,-0.4593,-1.6393,0.6205,-1.6904
pos,130,-0.4496,-1.6403,0.6172,-1.6903
pos,131,-0.4397,-1.6412,0.6139,-1.6903
pos,132,-0.4298,-1.6421,0.6106,-1.6902
pos,133,-0.4198,-1.6430,0.6072,-1.6902
pos,134,-0.4096,-1.6438,0.6038,-1.6901
pos,135,-0.3993,-1.6446,0.6004,-1.6901
pos,136,-0.3889,-1.6454,0.5969,-1.6900
pos,137,-0.3784,-1.6461,0.5934,-1.6900
pos,138,-0.3678,-1.6468,0.5899,-1.6899
pos,139,-0.3570,-1.6475,0.5864,-1.6899
pos,140,-0.3461,-1.6482,0.5828,-1.6898
pos,141,-0.3350,-1.6488,0.5792,-1.6898
pos,142,-0.3238,-1.6495,0.5755,-1.6898
pos,143,-0.3124,-1.6500,0.5719,-1.6898
pos,144,-0.3008,-1.6506,0.5682,-1.6897
pos,145,-0.2891,-1.6512,0.5645,-1.6897
pos,146,-0.2772,-1.6517,0.5608,-1.6897
pos,147,-0.2653,-1.6522,0.5571,-1.6897
pos,148,-0.2532,-1.6527,0.5533,-1.6896
pos,149,-0.2409,-1.6532,0.5495,-1.6896
pos,150,-0.2286,-1.6536,0.5456,-1.6896
pos,151,-0.2161,-1.6541,0.5418,-1.6896
pos,152,-0.2035,-1.6545,0.5379,-1.6895
pos,153,-0.1908,-1.6549,0.5339,-1.6895
pos,154,-0.1779,-1.6553,0.5300,-1.6895
pos,155,-0.1649,-1.6557,0.5260,-1.6894
pos,156,-0.1517,-1.6561,0.5220,-1.6894
pos,157,-0.1384,-1.6564,0.5179,-1.6893
pos,158,-0.1249,-1.6568,0.5139,-1.6893
pos,159,-0.1112,-1.6571,0.5099,-1.6893
pos,160,-0.0974,-1.6574,0.5058,-1.6892
pos,161,-0.0833,-1.6577,0.5018,-1.6892
