delay,25
params,0.7160,0.6421,0.9094,0.0015
pos,113,-1.7112,-2.2168,1.5458,-3.1442
pos,114,-1.7114,-2.2169,1.5547,-3.1442
pos,115,-1.7115,-2.2170,1.5635,-3.1442
pos,116,-1.7117,-2.2170,1.5725,-3.1442
pos,117,-1.7119,-2.2171,1.5821,-3.1442
pos,118,-1.7121,-2.2172,1.5927,-3.1441
pos,119,-1.7124,-2.2173,1.6046,-3.1441
pos,120,-1.7128,-2.2173,1.6184,-3.1441
pos,121,-1.7131,-2.2174,1.6302,-3.1441
pos,122,-1.7133,-2.2175,1.6402,-3.1441
pos,123,-1.7136,-2.2175,1.6489,-3.1441
pos,124,-1.7138,-2.2175,1.6566,-3.1441
pos,125,-1.7139,-2.2176,1.6636,-3.1441
pos,126,-1.7141,-2.2176,1.6698,-3.1441
pos,127,-1.7142,-2.2176,1.6756,-3.1441
pos,128,-1.7143,-2.2176,1.6810,-3.1441
pos,129,-1.7144,-2.2176,1.6862,-3.1442
pos,130,-1.7145,-2.2176,1.6914,-3.1442
pos,131,-1.7146,-2.2176,1.6970,-3.1442
pos,132,-1.7146,-2.2176,1.7029,-3.1442
pos,133,-1.7147,-2.2175,1.7095,-3.1443
pos,134,-1.7147,-2.2175,1.7163,-3.1443
pos,135,-1.7148,-2.2175,1.7233,-3.1443
pos,136,-1.7149,-2.2175,1.7307,-3.1444
pos,137,-1.7149,-2.2175,1.7381,-3.1444
pos,138,-1.7150,-2.2175,1.7454,-3.1445
pos,139,-1.7150,-2.2175,1.7526,-3.1445
pos,140,-1.7151,-2.2175,1.7601,-3.1446
pos,141,-1.7151,-2.2175,1.7676,-3.1446
pos,142,-1.7152,-2.2175,1.7752,-3.1447
pos,143,-1.7152,-2.2175,1.7824,-3.1447
pos,144,-1.7152,-2.2175,1.7896,-3.1448
pos,145,-1.7152,-2.2175,1.7968,-3.1448
pos,146,-1.7153,-2.2176,1.8036,-3.1449
pos,147,-1.7153,-2.2176,1.8101,-3.1450
pos,148,-1.7153,-2.2176,1.8158,-3.1450
pos,149,-1.7154,-2.2176,1.8208,-3.1451
pos,150,-1.7154,-2.2176,1.8250,-3.1452
pos,151,-1.7154,-2.2176,1.8286,-3.1452
pos,152,-1.7154,-2.2176,1.8318,-3.1453
pos,153,-1.7154,-2.2176,1.8347,-3.1453
pos,154,-1.7154,-2.2176,1.8374,-3.1454
pos,155,-1.7154,-2.2177,1.8400,-3.1454
pos,156,-1.7153,-2.2177,1.8426,-3.1455
pos,157,-1.7153,-2.2177,1.8454,-3.1456
pos,158,-1.7152,-2.2177,1.8484,-3.1456
pos,159,-1.7152,-2.2177,1.8514,-3.1457
pos,160,-1.7151,-2.2177,1.8544,-3.1457
pos,161,-1.7151,-2.2178,1.8576,-3.1458
pos,162,-1.7150,-2.2178,1.8611,-3.1458
