1.1265,0.4352,0.9643,-0.1336
1.1061,0.5567,0.9521,-0.2069
1.0283,0.3881,0.8903,-0.1123
1.0905,0.4272,0.8034,-0.1964
1.0655,0.3991,0.9595,-0.3944
1.0318,0.4463,0.9475,-0.1282
1.0648,0.3554,0.8992,-0.2560
1.0284,0.4782,0.9570,-0.0823
1.0961,0.4263,0.9758,-0.0345
1.0072,0.5446,0.9627,-0.2889
1.1539,0.4294,0.9336,-0.1438
1.0237,0.5309,0.9732,-0.2326
1.1049,0.5048,0.9638,-0.4981
1.0141,0.4467,0.9117,-0.2177
1.1307,0.4392,0.8597,-0.2920
1.0440,0.5090,0.8923,-0.2719
1.1253,0.4591,1.0815,-0.3465
1.1557,0.5933,0.9995,-0.1710
1.0079,0.2884,1.0638,-0.0059
1.0864,0.4186,0.9081,-0.1246
1.1342,0.3657,0.9989,-0.1496
1.0216,0.4817,0.9871,-0.3481
0.9093,0.4676,0.9018,-0.2038
1.1685,0.4711,0.9578,-0.1070
1.1094,0.5021,1.0195,-0.4805
1.0410,0.4370,1.0034,0.0590
1.1006,0.4244,0.9110,-0.0771
1.0405,0.5123,0.8764,-0.4022
1.0049,0.4228,0.9435,-0.3897
1.0062,0.4941,0.8442,-0.0530
1.0767,0.4851,1.0108,-0.6804
1.0296,0.4835,0.9519,-0.3371
1.0074,0.4278,1.0290,-0.2810
1.1314,0.4487,0.9824,0.0038
1.0186,0.5010,0.9268,-0.1134
1.1499,0.4134,0.9213,-0.1975
1.0492,0.4912,0.9161,-0.2814
1.0373,0.3877,0.9071,-0.2245
1.0510,0.4253,0.9838,0.0023
1.0818,0.4029,0.8298,-0.1927
1.0270,0.4672,0.9278,-0.0255
0.9619,0.4880,0.8913,0.0356
1.0807,0.4147,1.0046,0.0333
1.0705,0.4432,0.9023,-0.2113
1.1771,0.3779,1.0024,-0.1522
1.0664,0.3905,0.9154,0.2430
1.1521,0.4281,0.9942,-0.1015
1.0276,0.4136,0.9765,0.0190
1.1873,0.4282,1.0753,-0.3308
1.0507,0.3876,0.9784,0.2715
1.0049,0.4858,0.9048,-0.0312
0.9650,0.3792,0.9002,0.0094
1.0908,0.5049,0.9819,-0.3796
1.0868,0.5108,0.9138,-0.6243
1.0678,0.3880,1.0553,-0.4824
1.0456,0.3473,0.9574,-0.2280
1.0569,0.3906,1.0266,-0.3426
