delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,113,-1.7115,-2.2186,1.5579,-3.1437
pos,114,-1.7115,-2.2187,1.5627,-3.1436
pos,115,-1.7115,-2.2187,1.5676,-3.1436
pos,116,-1.7115,-2.2188,1.5728,-3.1436
pos,117,-1.7115,-2.2188,1.5780,-3.1435
pos,118,-1.7115,-2.2189,1.5835,-3.1435
pos,119,-1.7115,-2.2189,1.5891,-3.1434
pos,120,-1.7115,-2.2190,1.5949,-3.1434
pos,121,-1.7115,-2.2190,1.6008,-3.1434
pos,122,-1.7114,-2.2191,1.6067,-3.1433
pos,123,-1.7114,-2.2192,1.6127,-3.1433
pos,124,-1.7114,-2.2192,1.6188,-3.1433
pos,125,-1.7114,-2.2193,1.6250,-3.1433
pos,126,-1.7114,-2.2194,1.6313,-3.1433
pos,127,-1.7114,-2.2194,1.6376,-3.1433
pos,128,-1.7113,-2.2195,1.6441,-3.1433
pos,129,-1.7113,-2.2196,1.6506,-3.1433
pos,130,-1.7113,-2.2196,1.6572,-3.1433
pos,131,-1.7112,-2.2197,1.6639,-3.1433
pos,132,-1.7112,-2.2198,1.6706,-3.1433
pos,133,-1.7112,-2.2198,1.6775,-3.1434
pos,134,-1.7111,-2.2199,1.6845,-3.1434
pos,135,-1.7111,-2.2200,1.6915,-3.1434
pos,136,-1.7110,-2.2201,1.6987,-3.1435
pos,137,-1.7110,-2.2202,1.7059,-3.1435
pos,138,-1.7109,-2.2202,1.7132,-3.1436
pos,139,-1.7109,-2.2203,1.7206,-3.1436
pos,140,-1.7108,-2.2204,1.7280,-3.1437
pos,141,-1.7107,-2.2205,1.7355,-3.1438
pos,142,-1.7107,-2.2206,1.7431,-3.1438
pos,143,-1.7106,-2.2207,1.7508,-3.1439
pos,144,-1.7105,-2.2208,1.7585,-3.1440
pos,145,-1.7105,-2.2209,1.7662,-3.1441
pos,146,-1.7104,-2.2210,1.7741,-3.1442
pos,147,-1.7103,-2.2211,1.7820,-3.1443
pos,148,-1.7102,-2.2212,1.7899,-3.1444
pos,149,-1.7101,-2.2214,1.7979,-3.1445
pos,150,-1.7100,-2.2215,1.8059,-3.1445
pos,151,-1.7099,-2.2216,1.8140,-3.1446
pos,152,-1.7098,-2.2217,1.8221,-3.1447
pos,153,-1.7097,-2.2218,1.8303,-3.1447
pos,154,-1.7095,-2.2220,1.8386,-3.1448
pos,155,-1.7094,-2.2221,1.8469,-3.1449
pos,156,-1.7093,-2.2222,1.8554,-3.1449
pos,157,-1.7092,-2.2224,1.8639,-3.1450
pos,158,-1.7090,-2.2225,1.8725,-3.1451
pos,159,-1.7089,-2.2227,1.8811,-3.1451
pos,160,-1.7087,-2.2228,1.8899,-3.1452
pos,161,-1.7086,-2.2230,1.8985,-3.1452
pos,162,-1.7084,-2.2232,1.9071,-3.1453
pos,163,-1.7082,-2.2233,1.9155,-3.1454
